,epoch,satNum,X/(m),Y/(m),Z/(m),σx/m,σy/m,σz/m,PDOP
0,91290,9,-2279861.690993 ,5004697.285237 ,3219778.849714 ,0.452962 ,1.109521 ,0.580390 ,0.120410 
1,91320,10,-2279861.761177 ,5004698.739993 ,3219778.911125 ,0.435656 ,0.839849 ,0.565523 ,0.102475 
2,91350,10,-2279861.802503 ,5004698.768019 ,3219778.744799 ,0.444655 ,0.860637 ,0.579576 ,0.102597 
3,91380,10,-2279861.602467 ,5004698.473410 ,3219778.518990 ,0.444794 ,0.864390 ,0.582144 ,0.102731 
4,91410,10,-2279861.186807 ,5004698.810009 ,3219778.607574 ,0.407070 ,0.794314 ,0.534968 ,0.102876 
5,91440,9,-2279861.433031 ,5004697.653085 ,3219778.616809 ,0.442048 ,1.091499 ,0.577595 ,0.120363 
6,91470,10,-2279861.597124 ,5004698.402541 ,3219778.844578 ,0.436872 ,0.859552 ,0.578895 ,0.103203 
7,91500,10,-2279861.619247 ,5004698.826139 ,3219779.361780 ,0.434520 ,0.858521 ,0.578166 ,0.103384 
8,91530,10,-2279861.496184 ,5004698.712986 ,3219778.694251 ,0.450340 ,0.893557 ,0.601706 ,0.103578 
9,91560,10,-2279861.357955 ,5004698.512496 ,3219779.031549 ,0.430143 ,0.857143 ,0.577115 ,0.103784 
10,91590,10,-2279861.188811 ,5004698.746663 ,3219779.085383 ,0.445181 ,0.890949 ,0.599782 ,0.104002 
11,91620,10,-2279861.293069 ,5004697.899641 ,3219778.748284 ,0.441048 ,0.886536 ,0.596697 ,0.104233 
